ID,TruncatedID,Mean,SD,AUC,Peak,MaxIndex,Halfpk,Skew,HHMean,Fat,Carb,Protein
2133-018_Bar2,2133-018,0.47241512345679015,0.3952345896567434,0.5571521881123449,0.520618556701031,0.6388888888888888,0.6285714285714286,0.5885791058176798,0.46732673267326735,18.0,48,9
2133-021_CF2,2133-021,0.5912422839506174,0.4741021412525713,0.6586381450032658,0.5824742268041238,0.75,0.8571428571428571,0.5153607896239966,0.4554455445544554,2.5,54,11
2133-024_Bar1,2133-024,0.16898148148148143,0.14964193061127495,0.30756041802743306,0.10824742268041238,0.4444444444444444,0.8857142857142857,0.5255902459991961,0.1415841584158416,18.0,48,9
2133-019_Bar2,2133-019,0.3157793209876543,0.18114047139499248,0.42921293272371,0.28865979381443296,0.5277777777777778,0.8857142857142857,0.5836140605025524,0.28217821782178215,18.0,48,9
2133-020_Bar1,2133-020,0.1412037037037037,0.23446487846004122,0.28225016329196606,0.211340206185567,0.4444444444444444,0.8857142857142857,0.7474933605250874,0.08217821782178221,18.0,48,9
2133-011_Bar1,2133-011,0.27102623456790137,0.15192582233043433,0.3905943827563684,0.22164948453608246,0.5833333333333334,0.8857142857142857,0.5991420909577133,0.30297029702970296,18.0,48,9
2133-004_CF2,2133-004,0.8555169753086423,0.689424891410116,0.8776126714565643,0.8762886597938144,0.5833333333333334,0.6571428571428571,0.5157348474141196,0.7871287128712872,2.5,54,11
2133-028_Bar1,2133-028,0.13946759259259248,0.08356539097172737,0.28249510124101895,0.09278350515463918,0.4166666666666667,0.8857142857142857,0.6816104995984048,0.1366336633663366,18.0,48,9
2133-017_Bar1,2133-017,0.34354638203017834,0.22778641423135734,0.4341933376877858,0.25257731958762886,0.6666666666666666,0.8571428571428571,0.40614486524570403,0.3910891089108911,18.0,48,9
2133-030_PB1,2133-030,0.15933641975308635,0.043681174236148174,0.2989059438275637,0.05154639175257732,0.3611111111111111,0.8857142857142857,0.33481477626489936,0.1752475247524752,20.0,51,18
2133-008_CF1,2133-008,0.17476851851851846,0.3019179270350173,0.3118060091443501,0.28350515463917525,0.19444444444444445,0.4,0.7508179370524998,0.14554455445544556,2.5,54,11
2133-039_PB1,2133-039,0.2665895061728394,0.09445048803623993,0.3870019595035924,0.16494845360824742,0.4166666666666667,0.8857142857142857,0.5000047068587908,0.3039603960396039,20.0,51,18
2133-033_PB1,2133-033,0.3157793209876543,0.09445048803623993,0.42798824297844545,0.17010309278350516,1.0,0.8857142857142857,0.0,0.3504950495049505,20.0,51,18
2133-033_Bar2,2133-033,0.17361111111111105,0.25725130604409624,0.31139777922926193,0.2422680412371134,0.3888888888888889,0.8857142857142857,0.8079195462019488,0.1396039603960396,18.0,48,9
2133-021_PB1,2133-021,0.513695987654321,0.2743696942103692,0.5924232527759634,0.4072164948453608,0.5277777777777778,0.8857142857142857,0.4626258788864661,0.4168316831683168,20.0,51,18
2133-021_PB2,2133-021,0.44598765432098764,0.22882573157467048,0.5364141084258655,0.3917525773195876,0.6111111111111112,0.8857142857142857,0.5545018350690956,0.4277227722772277,20.0,51,18
2133-037_CF1,2133-037,0.2648533950617284,0.4077016234741028,0.3879817112998041,0.3711340206185567,0.4166666666666667,0.5714285714285714,0.6445274766503184,0.12772277227722775,2.5,54,11
2133-002_CF2,2133-002,0.5511188271604941,0.5141640983628049,0.6234487263226649,0.5257731958762887,0.4444444444444444,0.6571428571428571,0.34837783118623844,0.6445544554455445,2.5,54,11
2133-026_CF1,2133-026,0.12538580246913572,0.15192582233043433,0.2709013716525147,0.1134020618556701,0.5277777777777778,0.8857142857142857,0.6632997622589742,0.1158415841584158,2.5,54,11
2133-010_Bar2,2133-010,0.37287808641975306,0.18622705907023746,0.47722077073807967,0.28865979381443296,0.4444444444444444,0.8857142857142857,0.4533853969320494,0.3326732673267327,18.0,48,9
2133-032_CF2,2133-032,0.2241512345679011,0.2645864010366014,0.35287393860222077,0.21649484536082475,0.5,0.8857142857142857,0.5036013625922823,0.0851485148514851,2.5,54,11
2133-028_CF2,2133-028,0.21161265432098758,0.09212637753435837,0.34225996080992815,0.0979381443298969,0.4722222222222222,0.8857142857142857,0.280893979534538,0.22970297029702968,2.5,54,11
2133-037_Bar2,2133-037,0.21343143738977055,0.10005720467450892,0.1128347485303723,0.13402061855670103,0.5277777777777778,0.42857142857142855,0.7075779817911076,0.2930693069306931,18.0,48,9
2133-001_CF1,2133-001,0.2156635802469136,0.1600466808776159,0.34642390594382755,0.19072164948453607,0.3888888888888889,0.8857142857142857,0.6252197123726312,0.14851485148514854,2.5,54,11
2133-002_CF1,2133-002,0.39469735939643363,0.2686293143230699,0.4758327890267799,0.31958762886597936,0.4444444444444444,0.8571428571428571,0.3210801289298902,0.4504950495049505,2.5,54,11
2133-030_CF2,2133-030,0.3323754789272032,0.3995336892266702,0.30723383409536253,0.3556701030927835,0.5277777777777778,0.6571428571428571,0.5154690587501186,0.39009900990099017,2.5,54,11
2133-006_CF1,2133-006,0.2671682098765432,0.33602575886906194,0.39083932070542127,0.3711340206185567,0.3333333333333333,0.8571428571428571,0.7301790098271213,0.17623762376237626,2.5,54,11
2133-022_CF2,2133-022,0.34182098765432106,0.33746526653726,0.4503592423252776,0.3917525773195876,0.4166666666666667,0.8857142857142857,0.685809527862229,0.3247524752475247,2.5,54,11
2133-011_Bar2,2133-011,0.3072916666666668,0.22464152361897582,0.42227302416721096,0.30412371134020616,0.4722222222222222,0.8857142857142857,0.6015711947323888,0.3188118811881188,18.0,48,9
2133-033_CF1,2133-033,0.2467206790123455,0.3113610785751212,0.37238732854343565,0.33505154639175255,0.4166666666666667,0.6571428571428571,0.5971440199117477,0.2732673267326733,2.5,54,11
2133-021_Bar1,2133-021,0.5266203703703703,0.6541759675671609,0.6040986283474853,0.7319587628865979,0.5277777777777778,0.5142857142857142,0.5504075869856401,0.5633663366336634,18.0,48,9
2133-012_Bar2,2133-012,0.29320987654320974,0.28256096714284246,0.4088014369693011,0.29381443298969073,0.4166666666666667,0.8857142857142857,0.5845711670747848,0.2475247524752475,18.0,48,9
2133-036_Bar2,2133-036,0.4646990740740741,0.32354358159147273,0.5538863487916394,0.44329896907216493,0.6388888888888888,0.8857142857142857,0.5576624454363438,0.38316831683168323,18.0,48,9
2133-012_PB1,2133-012,0.23476080246913583,0.12745917691064096,0.3607119529719138,0.18041237113402062,0.8611111111111112,0.8857142857142857,0.6406841994487795,0.3138613861386139,20.0,51,18
2133-030_CF1,2133-030,0.22001262626262627,0.2209197136899474,0.2904964075767472,0.2268041237113402,0.19444444444444445,0.7714285714285715,0.6814629341030889,0.14257425742574256,2.5,54,11
2133-008_Bar2,2133-008,0.2739969135802469,0.2795695479909646,0.3629163945133899,0.30412371134020616,0.4722222222222222,0.6571428571428571,0.6209983550107616,0.2108910891089109,18.0,48,9
