ID,TruncatedID,Mean,SD,AUC,Peak,MaxIndex,Halfpk,Skew,HHMean,Fat,Carb,Protein
2133-013_Bar1,2133-013,96.45945945945944,8.660254037844387,1044000.0,116,17,185,0.8018515877311811,96.14285714285714,18.0,48,9
2133-039_CF2,2133-039,106.13513513513512,9.0,1147350.0,119,16,185,-0.7361145129867221,108.71428571428572,2.5,54,11
2133-018_Bar2,2133-018,124.0,25.806975801127876,1341150.0,177,23,140,0.5748290181691076,121.85714285714286,18.0,48,9
2133-021_CF2,2133-021,140.64864864864865,30.757112998459398,1527600.0,189,27,180,0.22471749496519805,120.14285714285714,2.5,54,11
2133-024_Bar1,2133-024,81.48648648648648,10.392304845413264,882600.0,97,16,185,0.2736321755977755,74.85714285714286,18.0,48,9
2133-019_Bar2,2133-019,102.05405405405405,12.369316876852979,1106100.0,132,19,185,0.5510874236006482,95.14285714285714,18.0,48,9
2133-020_Bar1,2133-020,77.5945945945946,15.716233645501713,836100.0,117,16,185,1.334716907795617,66.28571428571429,18.0,48,9
2133-011_Bar1,2133-011,95.7837837837838,10.535653752852738,1035150.0,119,21,185,0.6253385492429246,98.14285714285714,18.0,48,9
2133-004_CF2,2133-004,177.6756756756757,44.27188724235731,1929900.0,246,21,145,0.22650614498440685,168.0,2.5,54,11
2133-028_Bar1,2133-028,77.35135135135134,6.2449979983983965,836550.0,94,15,185,1.0196816817593468,74.14285714285714,18.0,48,9
2133-017_Bar1,2133-017,105.94444444444444,15.297058540778355,1115250.0,125,24,180,-0.29752551238636704,110.85714285714286,18.0,48,9
2133-030_PB1,2133-030,80.13513513513513,3.741657386773941,866700.0,86,13,185,-0.6386080092479162,79.71428571428571,20.0,51,18
2133-008_CF1,2133-008,82.29729729729729,19.949937343260004,890400.0,131,7,100,1.3506141943289658,75.42857142857143,2.5,54,11
2133-039_PB1,2133-039,95.16216216216215,6.92820323027551,1028550.0,108,15,185,0.1512885798130182,98.28571428571428,20.0,51,18
2133-033_PB1,2133-033,102.05405405405405,6.92820323027551,1103850.0,109,36,185,-2.2396078328329483,105.0,20.0,51,18
2133-033_Bar2,2133-033,82.13513513513513,17.146428199482248,889650.0,123,14,185,1.6236596888992527,74.57142857142857,18.0,48,9
2133-021_PB1,2133-021,129.78378378378378,18.220867158288602,1405950.0,155,19,185,-0.027447549031427116,114.57142857142857,20.0,51,18
2133-021_PB2,2133-021,120.29729729729729,15.362291495737214,1303050.0,152,22,185,0.4118801033530611,116.14285714285714,20.0,51,18
2133-037_CF1,2133-037,94.91891891891892,26.589471600616665,1030350.0,148,15,130,0.8423600179421151,72.85714285714286,2.5,54,11
2133-002_CF2,2133-002,135.02702702702706,33.27160951922825,1462950.0,178,16,145,-0.5737529010636889,147.42857142857142,2.5,54,11
2133-026_CF1,2133-026,75.37837837837837,10.535653752852738,815250.0,98,19,185,0.9321243535638121,71.14285714285714,2.5,54,11
2133-010_Bar2,2133-010,110.05405405405405,12.688577540449518,1194300.0,132,16,185,-0.07163320339202547,102.42857142857143,18.0,48,9
2133-032_CF2,2133-032,89.2162162162162,17.606816861659013,965850.0,118,18,185,0.1684868804945273,66.71428571428571,2.5,54,11
2133-028_CF2,2133-028,87.45945945945945,6.782329983125267,946350.0,95,17,185,-0.8964436609951749,87.57142857142857,2.5,54,11
2133-037_Bar2,2133-037,87.7142857142857,7.280109889280517,524850.0,102,19,105,1.1438516328984567,96.71428571428572,18.0,48,9
2133-001_CF1,2133-001,88.02702702702703,11.04536101718726,954000.0,113,14,185,0.7500351583667959,75.85714285714286,2.5,54,11
2133-002_CF1,2133-002,113.11111111111113,17.86057109949175,1191750.0,138,16,180,-0.704283629080641,119.42857142857143,2.5,54,11
2133-030_CF2,2133-030,104.3793103448276,26.0768096208106,882000.0,145,19,145,0.2252352106220601,110.71428571428572,2.5,54,11
2133-006_CF1,2133-006,95.24324324324324,22.09072203437452,1035600.0,148,12,180,1.251924049242083,79.85714285714286,2.5,54,11
